LN_LEN,LN_AADT,designException,numIntersections,numInterchanges,numHorCurves,Thru_Lanes,Aux_Lanes,HC_MILE,INT_MILE,Freeway,Rural
0,9.349087307,0,0,0,1,4,0,1,0,1,1
0,9.349087307,0,0,0,1,4,0,1,0,1,1
2.840247371,8.768159411,0,16,0,10,2,1,0.58411215,0.934579439,0,1
2.768580701,8.816803835,0,2,0,32,2,1,2.008032129,0.125502008,0,1
1.419245461,7.934394068,0,4,0,18,2,0,4.35413643,0.967585873,0,1
1.421661505,8.612503371,0,5,0,36,2,0,8.687258687,1.206563707,0,1
2.317276642,7.865187954,0,7,0,11,2,0,1.08395743,0.689791092,0,1
2.351851334,7.389152092,0,7,0,7,2,0,0.666349357,0.666349357,0,1
1.220829921,9.698695413,0,0,1,1,4,0,0.294985251,0.294985251,1,1
1.220829921,9.944549518,0,0,2,3,4,0,0.884955752,0.589970501,1,1
2.397895273,8.324012891,0,1,0,9,2,1,0.818181818,0.090909091,0,1
2.397895273,8.405516474,0,2,0,20,2,1,1.818181818,0.181818182,0,1
1.609437912,8.790725628,0,3,0,2,2,0,0.4,0.6,0,1
1.609437912,8.6006148,0,2,0,5,2,0,1,0.4,0,1
-0.94160854,8.816309641,0,2,0,1,2,1,2.564102564,5.128205128,0,1
-0.94160854,8.814825595,0,1,0,0,2,1,0,2.564102564,0,1
2.079441542,9.021235863,0,0,4,4,4,0,0.5,0.5,1,1
2.021547563,9.001387324,0,0,2,7,4,0,0.927152318,0.264900662,1,1
0.688637025,10.24918553,0,8,0,0,4,1,0,4.018081366,0,0
0.819779831,10.0776532,0,4,0,5,4,1,2.202643172,1.762114537,0,0
1.609437912,9.556173421,0,0,1,4,4,0,0.8,0.2,1,1
1.60743591,9.479603859,0,0,2,3,4,0,0.601202405,0.400801603,1,1
-0.544727175,10.20753498,0,6,0,0,4,1,0,10.34482759,0,0
-0.891598119,10.23321088,0,6,0,0,4,1,0,14.63414634,0,0
0.612479277,10.1007552,0,5,0,2,4,1,1.08401084,2.7100271,0,0
0.409457129,10.28376617,0,6,0,3,4,1,1.992031873,3.984063745,0,0
-2.207274913,9.65427805,0,2,0,0,4,1,0,18.18181818,0,1
-2.207274913,9.65427805,0,1,0,0,4,1,0,9.090909091,0,1
0.285178942,8.47184709,0,1,0,0,2,0,0,0.751879699,0,1
0.285178942,8.47184709,0,3,0,0,2,0,0,2.255639098,0,1
0.292669614,7.864547954,0,0,0,1,2,0,0.746268657,0,0,1
0.292669614,7.864547954,0,1,0,0,2,0,0,0.746268657,0,1
0.161268148,10.17446492,0,11,0,1,4,1,0.85106383,9.361702128,0,0
0.627541423,10.12671482,0,8,0,2,4,1,1.067805659,4.271222637,0,0
2.606091301,8.132510622,0,8,0,13,2,0,0.959692898,0.590580245,0,1
2.483655868,7.620705087,0,4,0,17,2,0,1.418439716,0.333750521,0,1
2.276959545,7.610452401,0,15,0,13,2,0,1.333743716,1.538935057,0,1
2.609922723,7.790144459,0,19,0,28,2,0,2.059126342,1.397264304,0,1
-0.693147181,8.133978692,0,1,0,1,2,0,2,2,0,1
-0.693147181,8.170468578,0,2,0,1,2,0,2,4,0,1
2.014903021,6.892641641,0,0,0,29,2,0,3.866666667,0,0,1
2.306776298,5.616690222,0,8,0,11,2,0,1.095399323,0.796654053,0,1
1.887069649,7.764672847,0,8,0,1,2,0,0.151515152,1.212121212,0,1
2.147567371,8.221478947,0,3,0,3,2,0,0.350303596,0.350303596,0,1
0.759402976,9.682217246,0,5,0,2,4,1,0.935891437,2.339728591,0,0
