Sale_Price,Make,model,year,title_status,mileage,color,lot,state,country,condition,Make,MakeID,Manufacturer,ManufacturerId,Model,ModelID,ModelYear,Series,Series2,Trim,Trim2,ABS,ActiveSafetySysNote,AdaptiveCruiseControl,AdaptiveDrivingBeam,AdaptiveHeadlights,AdditionalErrorText,AirBagLocCurtain,AirBagLocFront,AirBagLocKnee,AirBagLocSeatCushion,AirBagLocSide,AutoReverseSystem,AutomaticPedestrianAlertingSound,AxleConfiguration,Axles,BasePrice,BatteryA,BatteryA_to,BatteryCells,BatteryInfo,BatteryKWh,BatteryKWh_to,BatteryModules,BatteryPacks,BatteryType,BatteryV,BatteryV_to,BedLengthIN,BedType,BlindSpotIntervention,BlindSpotMon,BodyCabType,BodyClass,BrakeSystemDesc,BrakeSystemType,BusFloorConfigType,BusLength,BusType,CAN_AACN,CIB,CashForClunkers,ChargerLevel,ChargerPowerKW,CoolingType,CurbWeightLB,CustomMotorcycleType,DaytimeRunningLight,DestinationMarket,DisplacementCC,DisplacementCI,DisplacementL,Doors,DriveType,DriverAssist,DynamicBrakeSupport,EDR,ESC,EVDriveUnit,ElectrificationLevel,EngineConfiguration,EngineCycles,EngineCylinders,EngineHP,EngineHP_to,EngineKW,EngineManufacturer,EngineModel,EntertainmentSystem,ErrorCode,ErrorText,ForwardCollisionWarning,FuelInjectionType,FuelTypePrimary,FuelTypeSecondary,GCWR,GCWR_to,GVWR,GVWR_to,KeylessIgnition,LaneCenteringAssistance,LaneDepartureWarning,LaneKeepSystem,LowerBeamHeadlampLightSource,MotorcycleChassisType,MotorcycleSuspensionType,NCSABodyType,NCSAMake,NCSAMapExcApprovedBy,NCSAMapExcApprovedOn,NCSAMappingException,NCSAModel,NCSANote,Note,OtherBusInfo,OtherEngineInfo,OtherMotorcycleInfo,OtherRestraintSystemInfo,OtherTrailerInfo,ParkAssist,PedestrianAutomaticEmergencyBraking,PlantCity,PlantCompanyName,PlantCountry,PlantState,PossibleValues,Pretensioner,RearAutomaticEmergencyBraking,RearCrossTrafficAlert,RearVisibilitySystem,SAEAutomationLevel,SAEAutomationLevel_to,SeatBeltsAll,SeatRows,Seats,SemiautomaticHeadlampBeamSwitching,SteeringLocation,TPMS,TopSpeedMPH,TrackWidth,TractionControl,TrailerBodyType,TrailerLength,TrailerType,TransmissionSpeeds,TransmissionStyle,Turbo,VIN,ValveTrainDesign,VehicleType,WheelBaseLong,WheelBaseShort,WheelBaseType,WheelSizeFront,WheelSizeRear,Wheels,Windows
21500,kia,sorento,2020,clean vehicle,11451,blue,167801828,north carolina, usa,2 days left,KIA,499,HYUNDAI-KIA AMERICA TECHNICAL CENTER INC (HATCI),1034,Sorento,2769,2020,"L, LX, S",,,,Standard,,,,,,1st and 2nd Rows,1st Row (Driver and Passenger),,,1st Row (Driver and Passenger),Standard,,,2,27990,,,,,,,,,,,,,,,Standard,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,Standard,,3300,201.3783555,3.3,4,4x2,,Standard,,Standard,,,,,6,290,,216.253,KMC,GDI Lambda-II,,0,0 - VIN decoded clean. Check Digit (9th position) is correct,,,Gasoline,,,,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",,,,,,LED,Not Applicable,Not Applicable,,,,,,,,,,"GDI, Lambda-II",,,,,,WEST POINT,Kia Motors Manufacturing Georgia Inc (KMMG),UNITED STATES (USA),GEORGIA,,,,Standard,Standard,,,Manual,3,7,Standard,Left-Hand Drive (LHD),Direct,,,Standard,Not Applicable,,Not Applicable,,Automatic,,5xypg4a59lg616029,Dual Overhead Cam (DOHC),MULTIPURPOSE PASSENGER VEHICLE (MPV),,109.4,,,,4,
23000,chrysler,pacifica,2020,clean vehicle,2473,white,167656205,ohio, usa,2 days left,CHRYSLER,477,FCA CANADA INC.,995,Pacifica,3628,2020,Touring,,RU,,Standard,,Optional,,,,,1st Row (Driver and Passenger),,,All Rows,Standard,,,2,35240,,,,,,,,,,,,,,,Standard,,Minivan,,Hydraulic,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,Standard,,3600,219.6854787,3.6,4,FWD/Front-Wheel Drive,,Standard,,Standard,,,V-Shaped,,6,287,,214.0159,FCA,,,0,0 - VIN decoded clean. Check Digit (9th position) is correct,Optional,,Gasoline,,,,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",,Standard,,Optional,Optional,LED,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,WINDSOR,WINDSOR ASSEMBLY,CANADA,ONTARIO,,,,Standard,Standard,,,Manual,3,8,Standard,Left-Hand Drive (LHD),Indirect,,,Standard,Not Applicable,,Not Applicable,9,Automatic,,2c4rc1fg5lr143335,,MULTIPURPOSE PASSENGER VEHICLE (MPV),,121.6,,17,17,4,
25,chevrolet,vehicl,2020,salvage insurance,7232,black,167756877,kentucky, usa,3 days left,CHEVROLET,467,GENERAL MOTORS LLC,984,Equinox,1847,2020,LT FWD (1LT),,,,,,,,,,All Rows,1st Row (Driver and Passenger),,,1st Row (Driver and Passenger),,,,,,,,,,,,,,,,,,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,Hydraulic,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,,,1500,91.53561614,1.5,4,FWD/Front-Wheel Drive,,,,,,,In-Line,,4,,,,,"LYX - Direct Injection, VVT, FGT, TURBO, ALUM, GEN1",,0,0 - VIN decoded clean. Check Digit (9th position) is correct,,,Gasoline,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,INGERSOLL,CAMI,CANADA,ONTARIO,,,,,,,,Manual,,,,,Direct,,,,Not Applicable,,Not Applicable,,,Yes,2gnaxkev6l6128374,Dual Overhead Cam (DOHC),MULTIPURPOSE PASSENGER VEHICLE (MPV),,,,,,,
22500,chevrolet,camaro,2020,clean vehicle,13826,green,167765992,georgia, usa,3 days left,CHEVROLET,467,GENERAL MOTORS LLC,984,Camaro,1829,2020,1LS/1LT (Automatic),,,,,,,,,,All Rows,1st Row (Driver and Passenger),1st Row (Driver and Passenger),,1st Row (Driver and Passenger),,,,,,,,,,,,,,,,,,Not Applicable,,,Not Applicable,Coupe,,,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,,,2000,122.0474882,2,2,,,,,,,,In-Line,,4,,,,,"LTG - Spark ignited Direct injection, Variable Valve Timing, ALUM DOHC, DCVCP TURBO, E0-E100, ALUM",,0,0 - VIN decoded clean. Check Digit (9th position) is correct,,,Gasoline,,,,,,,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,LANSING - GRAND RIVER,GMNA,UNITED STATES (USA),MICHIGAN,,,,,,,,Manual,,,,,Direct,,,,Not Applicable,,Not Applicable,,Automatic,Yes,1g1fb1rx6l0109117,Dual Overhead Cam (DOHC),PASSENGER CAR,,,,,,,
15500,chevrolet,trax,2020,clean vehicle,16545,white,167765995,georgia, usa,3 days left,CHEVROLET,467,GENERAL MOTORS LLC,984,Trax,10988,2020,1LT FWD,,,,,,,,,,All Rows,1st Row (Driver and Passenger),1st Row (Driver and Passenger),,1st and 2nd Rows,,,,,,,,,,,,,,,,,,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,Hydraulic,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,,,1400,85.43324173,1.4,,FWD/Front-Wheel Drive,,,,,,,,,4,,,,GME,"LUV - MFI, Variable Valve Timing, E85 MAX, ALUM",,0,0 - VIN decoded clean. Check Digit (9th position) is correct,,Multipoint Fuel Injection (MPFI),Gasoline,Ethanol (E85),,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,SAN LUIS POTOSI,GMNA,MEXICO,,,,,,,,,Manual,,,,,Direct,,,,Not Applicable,,Not Applicable,,,Yes,3gncjlsb1ll142267,Dual Overhead Cam (DOHC),MULTIPURPOSE PASSENGER VEHICLE (MPV),,,,,,,
45500,chevrolet,tahoe,2020,clean vehicle,13303,white,167765997,georgia, usa,3 days left,CHEVROLET,467,GENERAL MOTORS LLC,984,Tahoe,1852,2020,LT,,,,,,,,,,All Rows,1st Row (Driver and Passenger),,,1st Row (Driver and Passenger),,,,,,,,,,,,,,,,,,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,,,5300,323.4258437,5.3,4,4x2,,,,,,,,,8,,,,GM,"L83 - Spark Ignited Direct Injection, Variable Valve Timing, AFM, E85 MAX, ALUM",,0,0 - VIN decoded clean. Check Digit (9th position) is correct,,,Gasoline,Ethanol (E85),,,"Class 2F: 7,001 - 8,000 lb (3,175 - 3,629 kg)",,,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,Front Inboard Seat Side AIr bag in First Row,,,,ARLINGTON,GMNA,UNITED STATES (USA),TEXAS,,,,,,,,Manual,,,,,Direct,,,,Not Applicable,,Not Applicable,,,,1gnscbkc4lr164829,,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,,,,,
45500,chevrolet,tahoe,2020,clean vehicle,13679,gray,167765999,georgia, usa,3 days left,CHEVROLET,467,GENERAL MOTORS LLC,984,Tahoe,1852,2020,LT,,,,,,,,,,All Rows,1st Row (Driver and Passenger),,,1st Row (Driver and Passenger),,,,,,,,,,,,,,,,,,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,,,5300,323.4258437,5.3,4,4x2,,,,,,,,,8,,,,GM,"L83 - Spark Ignited Direct Injection, Variable Valve Timing, AFM, E85 MAX, ALUM",,0,0 - VIN decoded clean. Check Digit (9th position) is correct,,,Gasoline,Ethanol (E85),,,"Class 2F: 7,001 - 8,000 lb (3,175 - 3,629 kg)",,,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,Front Inboard Seat Side AIr bag in First Row,,,,ARLINGTON,GMNA,UNITED STATES (USA),TEXAS,,,,,,,,Manual,,,,,Direct,,,,Not Applicable,,Not Applicable,,,,1gnscbkcxlr162857,,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,,,,,
16300,chevrolet,trax,2020,clean vehicle,18221,white,167766003,georgia, usa,3 days left,CHEVROLET,467,GENERAL MOTORS LLC,984,Trax,10988,2020,1LT FWD,,,,,,,,,,All Rows,1st Row (Driver and Passenger),1st Row (Driver and Passenger),,1st and 2nd Rows,,,,,,,,,,,,,,,,,,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,Hydraulic,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,,,1400,85.43324173,1.4,,FWD/Front-Wheel Drive,,,,,,,,,4,,,,GME,"LUV - MFI, Variable Valve Timing, E85 MAX, ALUM",,0,0 - VIN decoded clean. Check Digit (9th position) is correct,,Multipoint Fuel Injection (MPFI),Gasoline,Ethanol (E85),,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,SAN LUIS POTOSI,GMNA,MEXICO,,,,,,,,,Manual,,,,,Direct,,,,Not Applicable,,Not Applicable,,,Yes,3gncjlsb4ll149763,Dual Overhead Cam (DOHC),MULTIPURPOSE PASSENGER VEHICLE (MPV),,,,,,,
45500,chevrolet,tahoe,2020,clean vehicle,13885,white,167766009,georgia, usa,3 days left,CHEVROLET,467,GENERAL MOTORS LLC,984,Tahoe,1852,2020,LT,,,,,,,,,,All Rows,1st Row (Driver and Passenger),,,1st Row (Driver and Passenger),,,,,,,,,,,,,,,,,,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,,,5300,323.4258437,5.3,4,4x2,,,,,,,,,8,,,,GM,"L83 - Spark Ignited Direct Injection, Variable Valve Timing, AFM, E85 MAX, ALUM",,0,0 - VIN decoded clean. Check Digit (9th position) is correct,,,Gasoline,Ethanol (E85),,,"Class 2F: 7,001 - 8,000 lb (3,175 - 3,629 kg)",,,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,Front Inboard Seat Side AIr bag in First Row,,,,ARLINGTON,GMNA,UNITED STATES (USA),TEXAS,,,,,,,,Manual,,,,,Direct,,,,Not Applicable,,Not Applicable,,,,1gnscbkc6lr159535,,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,,,,,
61200,bmw,series,2020,clean vehicle,7509,black,167417053,california, usa,7 days left,BMW,452,BMW AG,966,740i,1720,2020,7-Series,,740i,,Standard,,,,,,1st and 2nd Rows,1st Row (Driver and Passenger),1st Row (Driver and Passenger),,1st Row (Driver and Passenger),Standard,,,2,,,,,,,,,,,,,,Not Applicable,,,Not Applicable,Sedan/Saloon,Front and rear vented discs,,Not Applicable,,Not Applicable,,,,,,,,Not Applicable,Standard,,2997.194006,182.9,3,4,RWD/Rear-Wheel Drive,,Standard,,Standard,,,,,6,335,,249.8095,BMW,,,0,0 - VIN decoded clean. Check Digit (9th position) is correct,,,Gasoline,,,,,,,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,DINGOLFING,,GERMANY,,,Yes,,,Standard,,,Manual,2,5,Standard,Left-Hand Drive (LHD),Direct,,,Standard,Not Applicable,,Not Applicable,8,Automatic,,wba7t2c04lgl17687,,PASSENGER CAR,,,Standard,,,4,
